course_id,course_title,,,price,level,published_timestamp
84,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,,,75,All Levels,2013-01-03T00:55:31Z
85,CSS Development (with CSS3!),,,20,All Levels,2012-10-31T16:39:49Z
86,Angular 2 & TypeScript Beginner Web Development,,,200,Beginner Level,2016-11-14T00:44:48Z
87,The Docker for DevOps course: From development to production,,,25,All Levels,2015-11-13T17:30:34Z
88,"Beginner Full Stack Web Development: HTML, CSS, React & Node",,,200,Beginner Level,2017-03-31T05:35:11Z
89,Learn Angular 2 Development By Building 12 Apps,,,50,Intermediate Level,2016-07-01T21:20:38Z
90,"Server API Development in Swift, Kitura, & Bluemix",,,200,Beginner Level,2017-03-08T23:09:32Z
91,React VR - Creating Virtual Reality Apps,,,80,All Levels,2017-05-17T20:36:49Z
92,RxJs & Reactive Programming Angular Masterclass - Angular 4,,,150,All Levels,2017-04-11T18:48:57Z
93,"Coding for Entrepreneurs: Learn Python, Django, and More.",,,195,All Levels,2013-04-08T00:46:14Z
94,React and Flux Web Development for Beginners,,,100,Beginner Level,2015-12-15T20:30:28Z
95,The Full Stack Web Development,,,60,Beginner Level,2016-11-24T00:38:03Z
96,Learn Nodejs by building 12 projects,,,50,All Levels,2015-04-22T00:22:43Z
97,How to Make an Online Portfolio Website from Scratch ,,,Free,All Levels,2015-10-02T22:59:15Z
98,How To Make A Web Page With No Code,,,Free,Beginner Level,2017-03-23T00:06:48Z
99,Spring Framework 4 And Dependency Injection For Beginners,,,Free,Beginner Level,2015-01-16T07:45:28Z
100,Joomla 3 - The Basics,,,Free,Beginner Level,2014-02-12T01:54:02Z
101,jQuery in Action: Build 8 jQuery Projects,,,100,All Levels,2015-09-12T07:14:48Z
102,Master WordPress Plugins: Shortcodes Ultimate - The Basics,,,Free,All Levels,2016-01-14T18:03:09Z
103,ASP.NET C# - Enterprise Web Systems From Novice to Expert,,,20,All Levels,2017-04-11T05:56:16Z
104,Wordpress - Create an Outstanding Website in 2 hours,,,30,Beginner Level,2015-10-28T22:45:22Z
105,Complete Website & CMS in PHP & MySQL From Scratch!,,,20,All Levels,2014-04-18T09:51:00Z
106,The Complete Web Development Tutorial Using React and Redux,,,40,Intermediate Level,2016-07-25T17:16:45Z
107,Create and Deploy a Web App in 3 Hours,,,50,Beginner Level,2013-12-04T22:49:28Z
108,HTML & CSS From Scratch in 30 Days,,,75,Beginner Level,2013-04-22T18:19:38Z
109,Getting Started with Craft CMS,,,20,All Levels,2016-11-07T22:03:01Z
110,JavaScript For Absolute Beginners - Level One,,,65,All Levels,2016-09-19T21:06:29Z
111,Effective Personal Website Building and Hosting,,,20,All Levels,2016-04-11T22:36:52Z
112,Web Design for Web Developers: Build Beautiful Websites!,,,Free,All Levels,2015-04-13T18:29:47Z
113,"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",,,200,All Levels,2016-08-23T20:46:39Z
114,Getting Started with NodeJS for Beginners,,,195,All Levels,2016-05-23T21:14:50Z
115,Quickstart AngularJS,,,Free,Beginner Level,2014-11-22T12:42:22Z
116,Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,,,20,All Levels,2016-03-10T17:20:41Z
117,Learn Building Your Own Website Without Coding,,,50,All Levels,2014-03-21T01:53:04Z
118,Practical Guide to Web Development,,,20,Beginner Level,2016-05-02T20:56:01Z
119,The Complete HTML5 and CSS3 Course,,,40,All Levels,2016-08-23T16:44:47Z
120,HTML & CSS for beginners: Build 3 projects from scratch,,,40,Beginner Level,2015-01-22T06:47:09Z
121,Code a 'Coming Soon' Landing Page in Bootstrap 4,,,Free,All Levels,2016-08-17T05:08:23Z
122,Introduction to Bootstrap 3,,,20,Beginner Level,2013-09-27T03:11:22Z
123,Master ExpressJS to Build Web Apps with NodeJS&JavaScript,,,50,All Levels,2016-01-07T02:04:55Z
124,Learn XML Crash Course: Discover Essential XML Fundamentals ,,,50,Intermediate Level,2014-06-16T14:00:47Z
125,HTML5 CSS3 JQUERY Single Page Website Project from Scratch,,,120,All Levels,2016-02-03T19:22:22Z
126,Scrape Websites using PhantomJS and CasperJS,,,195,Intermediate Level,2016-02-26T18:21:13Z
127,Amazon s3 Mastery - THE How-To' Guides For Amazon S3,,,95,All Levels,2015-03-18T21:27:54Z
128,HTML and CSS Crash Course for Beginners,,,50,Beginner Level,2014-05-30T22:23:01Z
129,EMMET Faster HTML & CSS workflow - Best Tool For Developers ,,,Free,All Levels,2015-04-09T16:36:06Z
130,Introduction to Web Development,,,50,Beginner Level,2014-03-11T19:43:30Z
131,AngularJS For ASP.NET MVC Developers,,,50,Intermediate Level,2015-02-23T15:11:20Z
132,Serverless Workflow Management with AWS Step Functions,,,Free,Intermediate Level,2016-12-09T03:39:22Z
133,How to set up a Web Server From Scratch to One Fully Managed,,,200,All Levels,2017-05-09T14:39:56Z
134,The Complete PHP MySQL Professional Course with 5 Projects,,,200,All Levels,2017-06-07T05:58:36Z
135,Angular Masterclass,,,150,All Levels,2016-05-09T22:29:32Z
136,Become a Professional Web Developer | Version 3.0,,,200,All Levels,2014-01-21T12:31:24Z
137,Build Incredible Chatbots,,,100,All Levels,2016-11-02T20:39:41Z
138,Try Django 1.10 | Create a URL Shortening Service,,,50,All Levels,2016-10-24T18:14:43Z
139,Projects in CSS,,,60,All Levels,2014-09-23T06:13:59Z
140,Ruby on Rails: Training and Skills to Build Web Applications,,,95,All Levels,2014-01-10T18:41:55Z
141,Learn and Understand React,,,30,All Levels,2017-03-23T16:20:05Z
142,Learn Javascript & JQuery From Scratch,,,30,All Levels,2013-10-10T15:19:29Z
143,Learn to use JSON,,,150,Beginner Level,2016-03-11T18:30:18Z
144,The Ultimate Web Developer How To Guide,,,200,All Levels,2015-11-26T04:31:11Z
145,"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",,,20,All Levels,2016-11-01T15:30:36Z
146,jQuery Crash Course: Learn the Essentials of jQuery Fast,,,50,All Levels,2015-01-07T03:12:34Z
147,Drupal Tutorial : Drupal 8 Beginner to Expert in 8 PROJECTS,,,200,Beginner Level,2017-05-01T23:07:05Z
148,The Complete PHP CodeIgniter Course: Beginner To Advanced,,,195,All Levels,2015-12-29T20:19:39Z
149,JavaScript For Beginners : Learn JavaScript From Scratch,,,195,All Levels,2017-02-07T17:20:39Z
150,"Mastering 'Native CSS Shapes To Build Modern Web Pages""",,,195,All Levels,2017-05-29T17:44:48Z
151,WordPress Development For Beginners,,,95,All Levels,2016-06-20T18:46:15Z
152,WordPress local server setup and site migration online,,,55,All Levels,2017-01-03T22:28:01Z
153,PHP Fundamentals - Start Earning The Top Dollars You Deserve,,,195,All Levels,2016-04-05T16:50:51Z
154,Interactive Dynamic JavaScript for beginners DOM,,,200,Beginner Level,2017-04-18T17:16:33Z
155,Javascript Intermediate level 1 - Mastering the DOM,,,100,All Levels,2016-08-30T19:52:11Z
156,Sublime Text for Rapid Web Development,,,20,All Levels,2017-01-19T23:07:26Z
157,Servlets and JSPs Tutorial: Learn Web Applications With Java,,,35,All Levels,2012-09-10T23:52:58Z
158,Projects in PHP and MySQL,,,60,All Levels,2014-07-25T11:11:41Z
159,PHP OOP: Object Oriented Programming for beginners + Project,,,200,All Levels,2015-06-03T22:40:09Z
160,React Redux React-Router: From Beginner to Paid Professional,,,20,All Levels,2016-08-25T22:22:25Z
161,Django Core | A Reference Guide to Core Django Concepts,,,195,Intermediate Level,2016-10-29T19:28:45Z
162,"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",,,195,All Levels,2017-03-27T16:46:54Z
163,"Build An Online Bank With Java, Angular 2, Spring and More",,,195,Beginner Level,2016-11-01T15:42:30Z
164,The Complete jQuery Course: From Beginner To Advanced!,,,195,All Levels,2016-05-26T19:10:29Z
165,Projects in AngularJS - Learn by building 10 Projects,,,40,All Levels,2015-06-25T19:00:56Z
166,The Ultimate Vue JS 2 Developers Course,,,195,All Levels,2016-12-16T14:59:21Z
167,React JS - Build real world JS apps & deploy on cloud,,,175,All Levels,2017-02-12T15:17:31Z
168,Angular 4 Front To Back,,,40,All Levels,2017-07-06T15:04:55Z
169,"Modern Web Development with SASS, Gulp, NPM & Web Workflows",,,95,Beginner Level,2016-12-31T03:11:31Z
170,"HTML5, CSS3 And JavaScript Fundamentals 2016",,,115,All Levels,2016-09-01T16:48:58Z
171,"Angular 4 - Concepts, Code and Collective Wisdom",,,50,Intermediate Level,2016-04-20T16:29:03Z
172,Learn E-Commerce Website in PHP & MySQL From Scratch!,,,Free,All Levels,2014-08-10T10:27:28Z
173,JavaScript Game Development: Create Your Own Breakout Game,,,Free,All Levels,2016-09-26T23:44:51Z
174,HTML and HTML5 For Beginners 2016,,,200,All Levels,2016-08-11T22:16:30Z
175,A Very Complete Introduction To Laravel,,,20,All Levels,2014-08-24T16:47:54Z
176,"Learn to code, Become a Web Developer and Master JavaScript!",,,200,All Levels,2015-01-22T14:36:59Z
177,Serverless Architecture on Amazon Web Services,,,Free,Intermediate Level,2016-11-30T00:11:26Z
178,jQuery Essentials: Learn the Fundamental of jQuery,,,20,All Levels,2016-08-19T00:45:41Z
179,Expert Guide : Mastering Functions in JavaScript !,,,195,All Levels,2015-06-19T22:58:29Z
180,Learn Angular 4 from Scratch,,,Free,Beginner Level,2017-05-02T02:38:43Z
181,Discover HTML Essential guide to HTML how to create webpages,,,85,Beginner Level,2015-10-17T05:52:05Z
182,HTML5 and CSS3 for beginners: Create a Website from Scratch,,,200,Beginner Level,2017-02-17T22:15:48Z
183,Introduction to Web Development,,,20,Beginner Level,2013-10-04T13:40:59Z
184,jQuery Fundamentals Powerful Bootcamp for beginners,,,150,All Levels,2015-08-04T18:54:44Z
185,The Complete HTML & CSS Course - From Novice To Professional,,,195,All Levels,2015-07-27T16:57:52Z
186,JavaScript Basics Web Development Building Blocks,,,95,Beginner Level,2015-08-14T00:27:33Z
187,Bootstrap unleash the power faster & easier web development,,,150,All Levels,2015-08-14T22:44:39Z
188,JavaScript Design Patterns: 20 Patterns for Expert Code,,,95,Expert Level,2015-11-12T19:01:10Z
189,Fix Google's New 'Not Secure' Warning with Let's Encrypt!,,,95,Beginner Level,2017-03-09T23:25:27Z
190,JavaScript for Beginners Welcome to learning JavaScript,,,50,Beginner Level,2016-02-01T19:34:26Z
191,Benefits of Thinking Mobile First Future of Website Design,,,75,Beginner Level,2015-05-13T22:13:53Z
192,Javascript from Beginner to Advanced Level,,,195,Beginner Level,2016-12-19T14:40:00Z
193,AJAX Development,,,20,All Levels,2012-05-15T18:03:43Z
194,Interaction Design Specialist For Web Developers,,,95,All Levels,2016-07-04T22:11:35Z
195,PHP Security,,,50,All Levels,2016-06-15T20:46:15Z
196,The Bubble Course - Create Complete Web Apps without Coding,,,30,Beginner Level,2016-07-24T18:04:32Z
197,The Complete HTML5 & CSS3 Course Build Professional Websites,,,195,All Levels,2015-08-11T21:47:20Z
198,CSS Web Development Crash Course,,,20,Beginner Level,2016-12-01T17:33:48Z
199,Mastering DevOps,,,100,Intermediate Level,2016-10-21T13:46:19Z
200,Building Websites Create a fully functional Web contact form,,,200,Beginner Level,2016-10-06T20:52:47Z
201,Create a Dynamic User Registration Form from scratch,,,100,Beginner Level,2016-01-09T04:31:40Z
202,A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,,,35,Intermediate Level,2014-10-12T06:29:05Z
203,HTML Workshop,,,20,All Levels,2012-04-08T05:12:43Z
204,Python for Beginners: Python Programming Language | Tutorial,,,150,Beginner Level,2015-06-14T18:18:57Z
205,Creating Animations using HTML5 Canvas,,,25,All Levels,2016-06-13T18:58:56Z
206,Bootstrap 4: Exploring New Features,,,75,All Levels,2016-05-27T21:28:29Z
207,Bootstrap 3 -> Profitable WordPress Theme Development!,,,40,All Levels,2014-10-22T17:39:21Z
208,Intro to Git,,,20,Beginner Level,2016-06-28T21:17:31Z
209,WordPress Domination #2: Leads & Scarcity,,,95,Beginner Level,2017-01-10T17:41:50Z
210,Learn How to Manage & Customize  Web Sites By Drupal CMS,,,140,All Levels,2016-12-11T21:05:33Z
211,Using Modern JavaScript Today,,,50,Intermediate Level,2016-01-01T18:34:53Z
212,Up and Running with jQuery,,,Free,All Levels,2017-02-03T23:23:30Z
213,Learn How To Build A Professional Web Site By Using Joomla,,,70,All Levels,2016-08-11T21:03:21Z
214,Power up HTML5 with JavaScript,,,100,Beginner Level,2016-03-15T18:03:33Z
215,Node Package Manager Course: Build and Publish NPM Modules,,,30,All Levels,2017-06-06T17:56:50Z
216,WordPress Look and Feel with Themes,,,25,Beginner Level,2016-09-04T19:34:22Z
217,PHP with Laravel for beginners - Become a Master in Laravel,,,150,All Levels,2016-04-21T19:57:39Z
218,JavaScript 2017: Become Top Rated Web Developer,,,115,All Levels,2017-05-03T14:15:06Z
219,The Complete Web Developer Bootcamp - Beginner to Expert,,,190,All Levels,2015-01-19T00:23:15Z
220,Full-Stack Web Apps with Meteor and React,,,85,All Levels,2016-11-23T23:05:38Z
221,Angular 4: From Theory to Practice & FREE E-Book,,,200,Intermediate Level,2016-11-15T21:35:06Z
222,The Complete Sass & SCSS Course: From Beginner to Advanced,,,195,All Levels,2016-02-24T16:48:27Z
223,Become a Certified Web Developer,,,100,All Levels,2011-12-20T15:29:25Z
224,Become a Web Developer from Scratch,,,120,All Levels,2011-11-19T21:51:20Z
225,Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,,,50,All Levels,2016-09-19T22:25:38Z
226,The Ultimate Beginner's Guide to Django,,,200,Beginner Level,2016-12-11T22:07:39Z
227,React JS - Mastering Redux,,,100,All Levels,2017-06-19T21:39:14Z
228,Professional Ruby on Rails Developer with Rails 5,,,200,All Levels,2017-02-19T22:03:15Z
229,"Ruby on Rails 5 - BDD, RSpec and Capybara",,,200,All Levels,2016-10-28T00:17:36Z
230,Back to School Web Development and Programming Bundle,,,200,Beginner Level,2013-08-19T14:53:00Z
231,Complete ASP NET MVC Web Development - Newbie to Ninja!,,,195,All Levels,2014-11-24T21:10:49Z
232,The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,,,195,All Levels,2016-08-06T20:53:04Z
233,All about NodeJS,,,50,All Levels,2014-12-19T20:46:50Z
234,How To Create A Wordpress Website 2016 | NEW Divi Theme 3.0!,,,40,Beginner Level,2016-10-13T22:12:07Z
235,The Complete jQuery Course - From Beginner to Professional!,,,200,All Levels,2016-06-20T22:59:31Z
236,Build a complete Fiverr clone with Node + Algolia + Paypal,,,30,All Levels,2017-05-20T05:38:42Z
237,The Ultimate Web Development Course,,,50,All Levels,2013-08-25T16:16:52Z
238,React From The Ground Up,,,150,All Levels,2016-05-02T21:59:07Z
239,Javascript for Beginners Learn by Doing Practical Exercises,,,100,All Levels,2015-01-31T02:24:19Z
240,8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,,,100,All Levels,2016-03-08T07:36:40Z
241,Wordpress Website Mastery 2017,,,Free,Beginner Level,2017-01-18T17:01:40Z
242,How To Make an eCommerce Website With Wordpress 2017,,,Free,Beginner Level,2017-05-09T22:08:11Z
243,Mastering ASP.NET MVC 5 From Scratch Using C#,,,50,All Levels,2016-12-01T20:30:59Z
244,Start Web Development with GIS Map in JavaScript,,,60,All Levels,2016-02-28T23:43:19Z
245,Learn to Build Websites using Twitter Bootstrap,,,Free,All Levels,2014-04-14T07:51:24Z
246,Web Development Tools the Pros Use: Code Productivity Hacks,,,30,Beginner Level,2015-10-08T18:13:22Z
247,WordPress : An Overview,,,45,Beginner Level,2015-02-02T04:48:51Z
248,Create Startup Landing Page with Viral Marketing Strategies,,,Free,Beginner Level,2015-01-03T01:18:44Z
249,JavaScript : JavaScript Awesomeness,,,25,Beginner Level,2016-09-15T18:06:58Z
250,Mastering CSS 3.0 Selectors,,,Free,Intermediate Level,2017-02-22T21:57:35Z
251,WordPress Backup And Restore Fundamentals,,,Free,Intermediate Level,2014-06-24T19:23:44Z
252,Learn HTML and CSS to make a Website,,,20,Beginner Level,2016-01-28T19:35:51Z
253,1 Hour HTML,,,200,Beginner Level,2013-07-09T03:16:26Z
254,Angular 2 Crash Course with TypeScript,,,100,All Levels,2016-06-14T19:26:06Z
255,Boost your website speed without any coding!,,,50,All Levels,2017-05-14T17:14:48Z
256,Professional Rails Code Along,,,40,Intermediate Level,2016-08-04T03:48:09Z
257,ASP.NET Web API 2 Hands-On,,,20,All Levels,2016-06-19T20:10:58Z
258,Create a MEAN App by Example - Full Stack Course,,,50,Intermediate Level,2017-05-08T18:16:17Z
259,The Original Complete Web Developer Course.,,,20,Beginner Level,2012-10-28T00:13:03Z
260,Angular 2 From The Ground Up,,,30,All Levels,2016-06-02T17:52:17Z
261,Complete Web Development Course + Building 5 Websites!,,,200,All Levels,2016-03-21T20:14:43Z
262,WP Plugin Development - Build your own plugin!,,,200,Beginner Level,2017-06-13T18:39:12Z
263,Sass: From Beginner to Advanced,,,40,All Levels,2016-07-21T15:43:34Z
264,Build Flat Responsive Website from Scratch - Complete Course,,,35,All Levels,2013-12-04T13:33:41Z
265,Wordpress for Beginners - Build a Live Website from Scratch,,,20,Beginner Level,2015-09-09T17:53:26Z
266,"Essential JavaScript, jQuery and AngularJS Training",,,30,Intermediate Level,2015-07-09T22:41:32Z
267,The Pro Ruby on Rails Starter,,,45,Beginner Level,2015-03-04T18:37:14Z
268,Unit Testing AngularJS: Build Bugfree Apps That Always Work!,,,25,All Levels,2016-01-24T21:47:20Z
269,WordPress Blog : Create a WordPress Website for Beginners,,,20,Beginner Level,2017-02-26T18:29:53Z
270,Introduction to HTML5 Canvas basics of drawing,,,200,Beginner Level,2016-03-14T18:51:45Z
271,"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",,,200,All Levels,2016-10-11T14:18:27Z
272,Kids Coding - Beginners CSS,,,100,All Levels,2013-07-25T19:55:43Z
273,PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,,,50,All Levels,2012-12-15T15:22:52Z
274,Learning Path: Magento: Master and Test Magento 2 with Ease,,,200,Expert Level,2017-05-26T17:51:05Z
275,The Complete hapiJS Course - Go From Beginner To Advanced!,,,195,All Levels,2016-07-13T15:30:53Z
276,Ruby On Rails For Web Development,,,195,Beginner Level,2014-12-17T19:01:59Z
277,Create eye-catching WordPress website from scratch,,,30,Beginner Level,2016-12-28T19:04:14Z
278,Become A Web Developer And Seller - Build Websites With HTML,,,200,Beginner Level,2013-10-05T12:49:46Z
279,WordPress Tips and Tricks,,,200,Intermediate Level,2017-06-08T17:44:18Z
280,HTML Tutorials : HTML Code for Website Creating,,,20,All Levels,2017-02-22T17:36:27Z
281,Complete HTML5 and CSS3 Course +1 Start to Finish Project,,,200,All Levels,2015-09-07T23:42:50Z
282,Web Development With HTML CSS BOOTSTRAP JQUERY for Beginners,,,35,Beginner Level,2017-05-30T17:15:41Z
283,HTML5 Specialist: Comprehensive HTML5 Training,,,100,All Levels,2016-06-22T16:54:51Z
284,CSS and CSS3 For Absolute Beginners,,,75,Beginner Level,2013-11-01T17:12:45Z
285,Build a Complete JQuery Plugin (Image Pop-up Dialog),,,20,All Levels,2017-02-23T21:46:18Z
286,How to create HTML Forms,,,30,Beginner Level,2016-04-29T04:48:25Z
287,ReactJS and Flux: Learn By Building 10 Projects,,,60,All Levels,2016-02-18T18:18:12Z
288,How To Make A Business Website In 1 Day With Wix FAST & EASY,,,20,Beginner Level,2016-04-18T15:23:27Z
289,PHP Date and Time Course by Edwin Diaz,,,40,All Levels,2016-05-03T21:00:53Z
290,Start Your Own Forum Website in 15 Minutes ,,,40,All Levels,2015-01-26T16:19:40Z
291,Hit the ground running with AngularJS with Dion Yang,,,100,All Levels,2015-11-26T17:16:53Z
